jointids,ho8ids,ho8_quants,ho7_quantds
TRINITY_DN23144_c0_g2,TRINITY_DN29284_c0_g1_i1,3.57872,2.15749
TRINITY_DN18023_c0_g1,TRINITY_DN18860_c1_g1_i1,14.854808,0
TRINITY_DN20365_c0_g2,TRINITY_DN18372_c1_g2_i2,38.37018,22.80762
TRINITY_DN25177_c1_g1,TRINITY_DN20438_c0_g1_i2,179.865199,13.65958204
TRINITY_DN20998_c0_g1,TRINITY_DN17923_c0_g1_i1,41.2914966,64.4880154
TRINITY_DN22046_c3_g1,TRINITY_DN19699_c0_g1_i6,42.796253,10.6940252
TRINITY_DN20667_c0_g1,TRINITY_DN19226_c0_g2_i3,22.3634048,20.5249
TRINITY_DN18956_c0_g3,TRINITY_DN12197_c0_g1_i1,5.804069,14.83235
TRINITY_DN22973_c1_g2,TRINITY_DN19891_c0_g1_i5,17.950318,0.3213486
TRINITY_DN23632_c1_g1,TRINITY_DN20287_c0_g1_i11,39.366449,0.606121
TRINITY_DN19021_c0_g1,TRINITY_DN19751_c1_g1_i1,52.1566526,16.09838
TRINITY_DN23065_c1_g2,TRINITY_DN19226_c0_g3_i1,27.34775,7.322754
TRINITY_DN13927_c0_g1,TRINITY_DN30342_c0_g1_i1,1.771531,3.29663
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i5,27.55269,0
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i15,27.55269,0
TRINITY_DN23997_c0_g1,TRINITY_DN20172_c0_g1_i4,253.937948,12.487055
TRINITY_DN19238_c1_g1,TRINITY_DN12563_c0_g1_i3,11.056889,7.580206
TRINITY_DN19238_c1_g1,TRINITY_DN12563_c0_g1_i1,11.056889,7.580206
TRINITY_DN20365_c0_g2,TRINITY_DN16981_c0_g2_i1,38.37018,22.80762
TRINITY_DN23925_c0_g1,TRINITY_DN20044_c0_g1_i7,40.0239849,11.699788
TRINITY_DN23530_c0_g1,TRINITY_DN20053_c0_g1_i8,28.5354,10.130889
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i12,27.55269,0
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i10,27.55269,0
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i1,27.55269,0
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i14,27.55269,0
TRINITY_DN23997_c0_g1,TRINITY_DN20172_c0_g1_i3,253.937948,12.487055
TRINITY_DN23997_c0_g1,TRINITY_DN20172_c0_g1_i2,253.937948,12.487055
TRINITY_DN20478_c0_g1,TRINITY_DN15353_c0_g1_i3,17.460272,27.434715
TRINITY_DN19238_c1_g2,TRINITY_DN17484_c0_g1_i2,17.91361,0
TRINITY_DN23424_c0_g5,TRINITY_DN18254_c0_g2_i1,28.7962,0
TRINITY_DN23632_c1_g2,TRINITY_DN20287_c0_g2_i1,5.54107,0.66306
TRINITY_DN19282_c1_g2,TRINITY_DN17923_c2_g3_i1,11.93819,0
TRINITY_DN19282_c1_g2,TRINITY_DN17923_c2_g3_i2,11.93819,0
TRINITY_DN19774_c0_g2,TRINITY_DN19760_c2_g2_i8,24.63626,3.7897
TRINITY_DN23997_c0_g1,TRINITY_DN20172_c0_g1_i1,253.937948,12.487055
TRINITY_DN15878_c0_g2,TRINITY_DN15960_c0_g6_i1,7.24457,0
TRINITY_DN24690_c2_g3,TRINITY_DN12652_c0_g1_i1,1.92477,0.136195
TRINITY_DN19583_c0_g1,TRINITY_DN16537_c0_g1_i1,16.12075,13.585952
TRINITY_DN23530_c0_g1,TRINITY_DN20053_c0_g1_i10,28.5354,10.130889
TRINITY_DN23632_c1_g1,TRINITY_DN20287_c0_g1_i12,39.366449,0.606121
TRINITY_DN4259_c0_g1,TRINITY_DN19556_c1_g1_i1,1.61167,0.0788427
TRINITY_DN15963_c0_g1,TRINITY_DN4049_c0_g1_i1,2.20302,9.29933
TRINITY_DN22448_c1_g1,TRINITY_DN18399_c0_g1_i6,12.09672,0.129416
TRINITY_DN22448_c1_g1,TRINITY_DN18399_c0_g1_i14,12.09672,0.129416
TRINITY_DN22448_c1_g1,TRINITY_DN18399_c0_g1_i15,12.09672,0.129416
TRINITY_DN19583_c0_g1,TRINITY_DN16537_c0_g1_i2,16.12075,13.585952
TRINITY_DN21784_c0_g4,TRINITY_DN19271_c1_g1_i2,23.544879,0
TRINITY_DN18023_c0_g1,TRINITY_DN18860_c1_g1_i5,14.854808,0
TRINITY_DN12500_c0_g1,TRINITY_DN20992_c0_g1_i1,1.95192,1.58779
TRINITY_DN19112_c0_g1,TRINITY_DN19556_c0_g1_i1,32.148674,20.0153
TRINITY_DN18023_c0_g1,TRINITY_DN18860_c1_g1_i3,14.854808,0
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i6,27.55269,0
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i13,27.55269,0
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i7,27.55269,0
TRINITY_DN23917_c2_g1,TRINITY_DN20354_c0_g1_i4,27.55269,0
TRINITY_DN23041_c1_g1,TRINITY_DN15413_c0_g1_i1,49.2279793,0
TRINITY_DN15524_c0_g1,TRINITY_DN17762_c0_g1_i2,42.622323,0.0782476
TRINITY_DN15524_c0_g1,TRINITY_DN17762_c0_g1_i4,42.622323,0.0782476
TRINITY_DN19238_c1_g2,TRINITY_DN17484_c0_g1_i1,17.91361,0
TRINITY_DN17965_c0_g1,TRINITY_DN18860_c0_g2_i1,14.078918,1.993272
TRINITY_DN12022_c0_g1,TRINITY_DN9813_c0_g1_i1,2.31656,0.192168
TRINITY_DN24648_c0_g1,TRINITY_DN20148_c0_g1_i5,29.052964,28.271254
TRINITY_DN19021_c0_g1,TRINITY_DN19751_c1_g1_i8,52.1566526,16.09838
TRINITY_DN15755_c1_g1,TRINITY_DN16839_c0_g2_i1,38.0693745,44.0047
TRINITY_DN20998_c0_g5,TRINITY_DN19318_c1_g3_i1,53.378374,0
TRINITY_DN16595_c1_g1,TRINITY_DN19892_c1_g2_i1,26.792406,17.6345
