Trinity,ho8quants,ho7quants
TRINITY_DN11724_c0_g2,,
TRINITY_DN9362_c0_g1,3.97923,0
TRINITY_DN12100_c0_g2,,
TRINITY_DN8171_c0_g1,1.82627,0
TRINITY_DN9431_c0_g2,2.70539,0
TRINITY_DN12996_c0_g13,,
TRINITY_DN7702_c0_g2,,
TRINITY_DN13294_c0_g6,,
TRINITY_DN13089_c1_g6,,
TRINITY_DN28617_c0_g1,0,2.57205
TRINITY_DN7765_c0_g1,2.48745,0.930305
TRINITY_DN2899_c0_g1,,
TRINITY_DN12069_c0_g1,0,7.50188
TRINITY_DN9625_c1_g2,,
TRINITY_DN11724_c0_g4,,
TRINITY_DN13361_c0_g2,0,19.4876
TRINITY_DN12908_c0_g3,,
TRINITY_DN13349_c2_g1,,
TRINITY_DN8708_c0_g1,0.861207,3.21604
TRINITY_DN12014_c1_g1,,
TRINITY_DN13089_c1_g8,,
TRINITY_DN12908_c0_g1,0,15.5384
TRINITY_DN32825_c0_g1,2.14066,0
TRINITY_DN13378_c1_g2,,
TRINITY_DN12986_c1_g1,,
TRINITY_DN4748_c0_g1,0,3.97423
TRINITY_DN13361_c0_g4,,
TRINITY_DN13349_c2_g13,,
TRINITY_DN34538_c0_g1,1.81431,1.35791
TRINITY_DN9362_c0_g2,4.498315,0
TRINITY_DN13196_c4_g6,,
TRINITY_DN9431_c0_g3,,
TRINITY_DN10076_c0_g1,,
TRINITY_DN12852_c0_g8,,
TRINITY_DN12568_c0_g1,0,4.17992
TRINITY_DN12987_c2_g2,,
TRINITY_DN12795_c4_g1,,
TRINITY_DN13089_c1_g9,,
TRINITY_DN13226_c0_g6,,
TRINITY_DN16842_c0_g1,0,1.65386
TRINITY_DN11266_c0_g1,6.57765,0
TRINITY_DN9431_c0_g1,4.8001,0
TRINITY_DN13346_c0_g9,,
TRINITY_DN10791_c1_g2,,
TRINITY_DN13089_c1_g3,,
TRINITY_DN22935_c0_g1,12.7373,31.8417
TRINITY_DN12100_c0_g1,6.46967,0.831674
TRINITY_DN16783_c0_g1,41.7447497,35.73771
TRINITY_DN2510_c0_g1,3.24118,0
TRINITY_DN11906_c7_g2,,
TRINITY_DN21227_c0_g1,3.571395,6.027526
TRINITY_DN13300_c1_g12,,
TRINITY_DN9625_c1_g3,,
TRINITY_DN12809_c0_g3,,
TRINITY_DN11203_c0_g1,0,2.80127
TRINITY_DN13346_c0_g8,,
TRINITY_DN6695_c0_g1,4.74975,0
TRINITY_DN12852_c0_g9,,
TRINITY_DN2977_c0_g1,0.761984,1.48519
TRINITY_DN6945_c0_g1,,
TRINITY_DN3359_c0_g1,,
TRINITY_DN7109_c0_g1,,
TRINITY_DN7765_c2_g1,,
TRINITY_DN12809_c0_g1,1.40749,0.854353
TRINITY_DN13573_c9_g30,,
TRINITY_DN1505_c0_g1,1.62324,1.22415
TRINITY_DN11542_c0_g1,0.20227,0.841902
TRINITY_DN10791_c1_g1,,
TRINITY_DN20695_c0_g1,20.000925,22.784237
TRINITY_DN10601_c0_g1,0.895847,1.292518
TRINITY_DN1791_c0_g1,2.65073,0
TRINITY_DN9176_c0_g1,3.83662,0
TRINITY_DN12987_c2_g1,,
TRINITY_DN12808_c0_g1,10.8992,0
TRINITY_DN11906_c7_g1,,
TRINITY_DN12267_c0_g2,,
TRINITY_DN4321_c0_g1,0,1.62068
TRINITY_DN8387_c0_g1,0,3.48581
TRINITY_DN30037_c0_g1,3.21098,0
TRINITY_DN25148_c0_g1,,
TRINITY_DN29212_c0_g1,0,1.77963
TRINITY_DN6742_c0_g2,,
TRINITY_DN11906_c7_g3,,
TRINITY_DN12071_c0_g1,1.450658,0.43723
TRINITY_DN4346_c0_g1,1.55242,0.603975
TRINITY_DN53_c0_g1,,
TRINITY_DN5735_c0_g1,1.48441,0
TRINITY_DN13161_c1_g9,,
TRINITY_DN7115_c0_g1,,
TRINITY_DN12613_c0_g1,4.36821,0
TRINITY_DN25770_c0_g1,3.16713,0
TRINITY_DN6060_c0_g1,0,0.666361
TRINITY_DN8784_c1_g2,,
TRINITY_DN11906_c6_g5,,
TRINITY_DN12014_c1_g2,,
TRINITY_DN26198_c0_g1,0,1.94462
TRINITY_DN13346_c0_g6,,
TRINITY_DN4135_c0_g1,,
TRINITY_DN11906_c6_g8,,
TRINITY_DN7160_c0_g1,0,1.04749
