trinity,start,stop,ho8_quants,ho7_quants
TRINITY_DN10517_c0_g1,205,404,0.0,2.41016
TRINITY_DN12113_c0_g1,238,382,0.211707,4.117679
TRINITY_DN12197_c0_g1,102,455,3.08292,0.0
TRINITY_DN12563_c0_g1,250,399,0.0,12.6778
TRINITY_DN12652_c0_g1,47,154,11.6545,0.0
TRINITY_DN12759_c0_g1,90,418,13.1201,0.0
TRINITY_DN13187_c0_g1,285,427,0.0,1.6659
TRINITY_DN13187_c0_g1,98,240,0.0,1.6659
TRINITY_DN13342_c0_g1,2,73,21.0221,10.9714
TRINITY_DN13891_c0_g1,55,138,2.58333,4.30442
TRINITY_DN13891_c0_g1,422,566,2.58333,4.30442
TRINITY_DN14362_c0_g1,253,394,3.56185,3.381869
TRINITY_DN15303_c0_g1,276,399,2.71132,0.0
TRINITY_DN15353_c0_g1,195,336,4.500588,3.386804
TRINITY_DN15353_c0_g1,120,262,4.500588,3.386804
TRINITY_DN15353_c0_g1,414,555,4.500588,3.386804
TRINITY_DN15413_c0_g1,269,419,2.81523,6.86962
TRINITY_DN15456_c0_g1,262,389,20.4352,6.94694
TRINITY_DN15456_c0_g1,81,209,20.4352,6.94694
TRINITY_DN15666_c0_g1,252,386,25.7557,32.6031
TRINITY_DN16005_c0_g1,262,408,96.5162306,60.4894899
TRINITY_DN16005_c0_g1,262,399,96.5162306,60.4894899
TRINITY_DN16005_c0_g1,262,416,96.5162306,60.4894899
TRINITY_DN16005_c0_g1,247,398,96.5162306,60.4894899
TRINITY_DN16371_c0_g1,108,282,63.93613,42.3657
TRINITY_DN16537_c0_g1,208,393,2.16486,0.0
TRINITY_DN16537_c0_g1,213,398,2.16486,0.0
TRINITY_DN16981_c0_g1,261,398,12.718338,27.21679
TRINITY_DN17190_c0_g1,79,447,12.4341,27.909254
TRINITY_DN17190_c0_g1,79,455,12.4341,27.909254
TRINITY_DN17484_c0_g1,334,476,10.394726,5.91285060996
TRINITY_DN17484_c0_g1,252,394,10.394726,5.91285060996
TRINITY_DN17655_c1_g1,124,252,3.08166,0.0
TRINITY_DN17655_c1_g1,277,405,3.08166,0.0
TRINITY_DN17762_c0_g1,4,110,40.30395,50.5183
TRINITY_DN17762_c0_g1,268,395,40.30395,50.5183
TRINITY_DN17923_c0_g1,283,407,3.945651,7.573413
TRINITY_DN17923_c0_g1,283,408,3.945651,7.573413
TRINITY_DN18254_c0_g1,248,408,2.82242,2.65808
TRINITY_DN18363_c0_g1,269,430,0.0,217.48482
